,year,neighbourhood,population,% spaniards,% strangers,% w/ higher education,unemployed,total_surface(m2),housing(m2),parking(m2),commerce(m2),industry(m2),offices(m2),education(m2),healthcare(m2),hostelry(m2),sports(m2),religious(m2),entertainment(m2),other_uses(m2),avg_€/month,avg_€/m2,avg_housing(m2),new_contracts_1000_hab,expired_contracts_1000_hab,win_lost_rents_1000_hab,binary_rent_growth_1000_hab
81,2010,Montbau,5199.0,88.9,11.1,,,547580,157523,29467,9402,47834,11425,108398,157051,2513,17628.0,6339,0.0,0,768.0,11.02,69.69147005444647,57.648401826484,50.7990867579909,6.849315068493098,1.0
82,2010,Navas,21699.0,86.1,13.9,,,1063923,755205,116921,96837,57746,11504,12047,742,3732,1185.0,4563,3087.0,354,799.0,10.97,72.83500455788514,62.3567171022467,63.9614855570839,-1.604768454837199,0.0
83,2010,Pedralbes,11758.0,84.3,15.7,,,1547200,777679,163132,28093,50069,56238,276785,5512,18853,38610.0,26877,1158.0,104194,1.318,15.01,0.08780812791472352,43.9777111015859,47.6639519931419,-3.6862408915559968,0.0
84,2010,Porta,23809.0,86.4,13.6,,,1260147,741365,234260,135249,53302,32200,16973,707,22073,5111.0,2527,10555.0,5825,724.0,10.9,66.42201834862385,79.6769172521139,76.3535400277649,3.3233772243490023,1.0
85,2010,Provençals del Poblenou,19636.0,86.8,13.2,,,1270028,662732,100528,73150,323159,71803,15985,908,13561,84.0,1862,0.0,6256,923.0,12.83,71.94076383476228,57.5076608784474,55.1583248212462,2.3493360572012065,1.0
86,2010,Sant Andreu,55813.0,91.9,8.1,,,2899417,1936831,331216,237289,233905,28452,52135,18104,10736,29363.0,11917,1700.0,7769,759.0,11.37,66.75461741424803,58.475866392048,53.2103519297931,5.265514462254899,1.0
87,2010,Sant Antoni,38414.0,81.6,18.4,,,2425140,1629830,205395,229230,146232,101407,25118,24116,25244,13979.0,8395,11593.0,4601,924.0,12.46,74.15730337078651,71.2506228201295,71.5128628746755,-0.2622400545460124,0.0
88,2010,Sant Genís dels Agudells,7060.0,87.4,12.6,,,360937,247706,26554,16488,13406,3421,31866,4307,1051,9949.0,4804,1385.0,0,712.0,10.33,68.92545982575024,47.2132979466406,50.7054057829306,-3.492107836289996,0.0
89,2010,Sant Gervasi - Galvany,46478.0,89.2,10.8,,,5105961,3103920,578713,364538,219202,501211,89853,82991,72365,27194.0,29852,24616.0,11506,1.221,14.03,0.08702779757662153,54.8320915667854,53.1260123096858,1.7060792570996028,1.0
90,2010,Sant Gervasi - la Bonanova,24307.0,90.8,9.2,,,2450541,1418554,284286,116808,112544,84053,164433,126439,25417,62256.0,38888,3430.0,13433,1.13,14.02,0.08059914407988587,61.0548835678433,57.4755204476261,3.579363120217195,1.0
91,2010,Sant Martí de Provençals,26281.0,88.9,11.1,,,1211946,879167,93365,68736,66424,24494,51686,9232,6117,7476.0,5248,0.0,1,814.0,10.87,74.88500459981601,57.7128879376242,53.0117719003211,4.701116037303102,1.0
92,2010,Sant Pere Santa Caterina i la Ribera,23101.0,64.2,35.8,,,1925355,1053270,94490,143495,143265,179327,75812,5258,48923,725.0,12003,8435.0,160352,889.0,15.0,59.266666666666666,100.234233437928,106.288946833429,-6.054713395500997,0.0
93,2010,Sants,42568.0,82.9,17.1,,,2515069,1484378,270801,247972,291390,76640,52687,18935,50897,8221.0,5040,6490.0,1618,806.0,12.18,66.17405582922825,72.7833827893175,75.7982195845697,-3.0148367952521937,0.0
94,2010,Sants - Badal,24470.0,82.8,17.2,,,1186492,798584,146275,109440,84222,22081,10225,3038,1918,6169.0,3294,215.0,1031,786.0,11.96,65.71906354515049,65.4808363800682,63.7144148215093,1.7664215585588963,1.0
95,2010,Sarrià,24028.0,88.8,11.2,,,2008124,1189604,260227,86787,90044,46237,155598,56015,17230,40697.0,42115,94.0,23476,1.141,15.54,0.07342342342342342,61.2451067053921,51.6479353453719,9.597171360020198,1.0
96,2010,Torre Baró,2166.0,89.9,10.1,,,113727,79758,5927,6809,11771,0,7300,1182,515,158.0,223,0.0,84,634.0,9.26,68.46652267818574,66.9127826488233,58.1449007844947,8.767881864328594,1.0
97,2010,Vallbona,1342.0,88.2,11.8,,,93834,53959,6912,7512,5317,0,2746,0,7485,9074.0,82,0.0,747,,,,56.2218890554723,47.976011994003,8.2458770614693,1.0
98,2010,Vallcarca i els Penitents,15436.0,87.0,13.0,,,1069754,681438,124456,44784,40503,11990,27299,112080,6911,13818.0,5859,142.0,474,859.0,12.32,69.72402597402598,66.110356426677,65.0753606313474,1.034995795329607,1.0
99,2010,Vallvidrera el Tibidabo i les Planes,4340.0,89.7,10.3,,,408007,250284,29945,12338,30618,1912,16253,4399,12246,4125.0,10468,30858.0,4561,1.225,12.07,0.10149130074565038,65.5124005615349,50.0701918577445,15.442208703790406,1.0
100,2010,Verdun,12398.0,82.8,17.2,,,467627,348440,37672,49794,14923,2576,11629,0,489,499.0,1604,0.0,1,698.0,11.2,62.32142857142858,75.5284552845528,72.3577235772358,3.170731707317003,1.0
101,2010,Vilapicina i la Torre Llobeta,25666.0,86.8,13.2,,,1246647,845186,169787,108387,61282,15285,29254,7537,4418,603.0,2297,958.0,1653,743.0,10.98,67.66848816029143,64.7150663544106,62.8805620608899,1.8345042935206948,1.0
102,2010,el Baix Guinardó,26123.0,86.0,14.0,,,1317759,907897,124116,91522,64263,24433,36642,42907,7258,4025.0,5356,72.0,9268,809.0,11.86,68.21247892074199,70.5556836522942,64.1380370455768,6.417646606717412,1.0
103,2010,el Barri Gòtic,18720.0,63.2,36.8,,,2118081,935794,67211,218105,172078,296799,73069,6897,180460,2797.0,36131,18458.0,110282,898.0,13.82,64.97829232995659,98.3270372369131,125.040474905559,-26.713437668645895,0.0
